date,title,event_or_location,type,description,source_url
1988-01-30,Made Of Ecstasy,,live session,"Early-era Bashar channeling session (audio recording) titled 'Made Of Ecstasy', dated 1988-01-30. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-01-30-made-of-ecstasy
1988-02-04,Acting It Out,,live session,"Early-era Bashar channeling session (audio recording) titled 'Acting It Out', dated 1988-02-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-02-04-acting-it-out
1988-02-11,The Cleansing Flame,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Cleansing Flame', dated 1988-02-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-cleansing-flame-1988-02-11
1988-02-18,The Legacy,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Legacy', dated 1988-02-18. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-legacy-1988-02-18
1988-03-05,Release of Emotions and Evolution of Consciousness (Japan),Japan,live session,"Early-era Bashar channeling session (audio recording) titled 'Release of Emotions and Evolution of Consciousness (Japan)', dated 1988-03-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-release-of-emotions-and-evolution-of-consciousness-japan-1988-03-05
1988-03-13,Vision and Creativity (Japan),Japan,live session,"Early-era Bashar channeling session (audio recording) titled 'Vision and Creativity (Japan)', dated 1988-03-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-vision-and-creativity-japan-1988-03-13
1988-03-14,Creative Relationship (Japan),Japan,live session,"Early-era Bashar channeling session (audio recording) titled 'Creative Relationship (Japan)', dated 1988-03-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-creative-relationship-japan-1988-03-14
1988-04-10,Persona Reconstruction,,live session,"Early-era Bashar channeling session (audio recording) titled 'Persona Reconstruction', dated 1988-04-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-persona-reconstruction-1988-04-10
1988-05-12,World Religion Class,,live session,"Early-era Bashar channeling session (audio recording) titled 'World Religion Class', dated 1988-05-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-05-12-world-religion-class
1988-05-22,Recreate Your Reality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Recreate Your Reality', dated 1988-05-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-05-22-recreate-your-reality
1988-07-05,Future Memory,,live session,"Early-era Bashar channeling session (audio recording) titled 'Future Memory', dated 1988-07-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-future-memory-1988-07-05
1988-08-01,The Illusion of Power,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Illusion of Power', dated 1988-08-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-illusion-of-power-1988-08-01
1988-08-02,Redefining Dogma,,live session,"Early-era Bashar channeling session (audio recording) titled 'Redefining Dogma', dated 1988-08-02. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-redefining-dogma-1988-08-02
1988-08-29,Perseverance,,live session,"Early-era Bashar channeling session (audio recording) titled 'Perseverance', dated 1988-08-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-perseverance-1988-08-29
1988-09-06,The Limbo State,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Limbo State', dated 1988-09-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-limbo-state-1988-09-06
1988-10-04,Summation 1,,live session,"Early-era Bashar channeling session (audio recording) titled 'Summation 1', dated 1988-10-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-10-04-summation-1
1988-11-01,Summation 2 God Seeds,,live session,"Early-era Bashar channeling session (audio recording) titled 'Summation 2 God Seeds', dated 1988-11-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-11-01-summation-2-god-seeds
1988-12-06,Summation 3,,live session,"Early-era Bashar channeling session (audio recording) titled 'Summation 3', dated 1988-12-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1988-12-06-summation-3
1989-02-20,Tools for Success,,live session,"Early-era Bashar channeling session (audio recording) titled 'Tools for Success', dated 1989-02-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-tools-for-success-1989-02-20
1989-07-23,Healing Of All Disease,,live session,"Early-era Bashar channeling session (audio recording) titled 'Healing Of All Disease', dated 1989-07-23. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1989-07-23-healing-of-all-disease
1989-11-19,The Agenda: Whole Life,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Agenda: Whole Life', dated 1989-11-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-agenda-whole-life-1989-11-19
1990-05-28,1 3 5 No Risk Formula,,live session,"Early-era Bashar channeling session (audio recording) titled '1 3 5 No Risk Formula', dated 1990-05-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1-3-5-no-risk-formula-1990-05-28
1990-12-16,Transformers,,live session,"Early-era Bashar channeling session (audio recording) titled 'Transformers', dated 1990-12-16. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1990-12-16-transformers
1991-01-13,Nature Of Nature,,live session,"Early-era Bashar channeling session (audio recording) titled 'Nature Of Nature', dated 1991-01-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-01-13-nature-of-nature
1991-03-24,Invisible And Visible Things (Japan),Japan,live session,"Early-era Bashar channeling session (audio recording) titled 'Invisible And Visible Things (Japan)', dated 1991-03-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-03-24-invisible-and-visible-things-jap
1991-04-06,Healing The World (Japan),Japan,live session,"Early-era Bashar channeling session (audio recording) titled 'Healing The World (Japan)', dated 1991-04-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-04-06-healing-the-world-jap
1991-04-06,The Three Absolutes II,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Three Absolutes II', dated 1991-04-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-three-absolutes-ii-1991-04-06
1991-06-16,The Stream,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Stream', dated 1991-06-16. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-06-16-the-stream
1991-06-22,Earth Changes (private with Kent Babcock),,other,"Early-era Bashar channeling session (audio recording) titled 'Earth Changes (private with Kent Babcock)', dated 1991-06-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-06-22-earth-changes-private-with-kent-babcock
1991-06-29,Razor's Edge,,live session,"Early-era Bashar channeling session (audio recording) titled 'Razor's Edge', dated 1991-06-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-06-29-razors-edge
1991-07-14,Space Time Travel,,live session,"Early-era Bashar channeling session (audio recording) titled 'Space Time Travel', dated 1991-07-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-07-14-space-time-travel
1991-07-28,Be X Static (Ecstatic),,live session,"Early-era Bashar channeling session (audio recording) titled 'Be X Static (Ecstatic)', dated 1991-07-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-07-28-be-x-static-ecstaticmissing-tape-2
1991-08-11,Shattering Old Patterns,,live session,"Early-era Bashar channeling session (audio recording) titled 'Shattering Old Patterns', dated 1991-08-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-shattering-old-patterns-1991-08-11
1991-09-01,Tipping The Scales,,live session,"Early-era Bashar channeling session (audio recording) titled 'Tipping The Scales', dated 1991-09-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-09-01-tipping-the-scales
1991-09-15,Take Action Guides,,live session,"Early-era Bashar channeling session (audio recording) titled 'Take Action Guides', dated 1991-09-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-09-15-take-action-guides
1991-09-28,Abundance Evolving Times,,live session,"Early-era Bashar channeling session (audio recording) titled 'Abundance Evolving Times', dated 1991-09-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-09-28-abundance-evolving-times
1991-10-06,Choices And Opportunities,,live session,"Early-era Bashar channeling session (audio recording) titled 'Choices And Opportunities', dated 1991-10-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1991-10-06-choices-and-opportunities
1992-01-10,The Three Absolutes,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Three Absolutes', dated 1992-01-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-three-absolutes-1992-01-10
1992-02-13,Mechanics Of Metaphysics,,live session,"Early-era Bashar channeling session (audio recording) titled 'Mechanics Of Metaphysics', dated 1992-02-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-02-13-mechanics-of-metaphysics
1992-03-13,Letting Go and Abundance,,live session,"Early-era Bashar channeling session (audio recording) titled 'Letting Go and Abundance', dated 1992-03-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-letting-go-and-abundance-1992-03-13
1992-04-25,Higher Self,,live session,"Early-era Bashar channeling session (audio recording) titled 'Higher Self', dated 1992-04-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-higher-self-1992-04-25
1992-05-09,Earth History 101,,live session,"Early-era Bashar channeling session (audio recording) titled 'Earth History 101', dated 1992-05-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-05-09-earth-history-101
1992-05-31,Keys of Ascension Workshop,,workshop,"Early-era Bashar channeling session (audio recording) titled 'Keys of Ascension Workshop', dated 1992-05-31. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-keys-of-ascension-workshop-1992-05-31
1992-07-07,Electro-Magnetheric Geography,,live session,"Early-era Bashar channeling session (audio recording) titled 'Electro-Magnetheric Geography', dated 1992-07-07. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-electro-magnetheric-geography-1992-07-7
1992-09-22,Application,,live session,"Early-era Bashar channeling session (audio recording) titled 'Application', dated 1992-09-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-09-22-application
1992-09-25,Perth Esplanade,"Perth, Australia",live session,"Early-era Bashar channeling session (audio recording) titled 'Perth Esplanade', dated 1992-09-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-09-25-perth-esplanade
1992-09-26,Perth Kings Ambassador,"Perth, Australia",live session,"Early-era Bashar channeling session (audio recording) titled 'Perth Kings Ambassador', dated 1992-09-26. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-09-26-perth-kings-ambassador
1992-09-27,Perth Workshop,"Perth, Australia",workshop,"Early-era Bashar channeling session (audio recording) titled 'Perth Workshop', dated 1992-09-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-09-27-perth-workshop
1992-11-30,Channeling Conference 1,,conference,"Early-era Bashar channeling session (audio recording) titled 'Channeling Conference 1', dated 1992-11-30. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-11-30a-channeling-conference-1
1992-12-01,Channeling Conference 2 Q&A (Japan),Japan,conference,"Early-era Bashar channeling session (audio recording) titled 'Channeling Conference 2 Q&A (Japan)', dated 1992-12-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-12-01b-channeling-conference-2-q-a-jap
1992-12-03,Private Session At Great Pyramid,"Great Pyramid, Egypt",other,"Early-era Bashar channeling session (audio recording) titled 'Private Session At Great Pyramid', dated 1992-12-03. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-12-03-andrew-s.-private-session-2-at-great-pyramid
1992-12-27,Private Group In Santa Fe,"Santa Fe, New Mexico",other,"Early-era Bashar channeling session (audio recording) titled 'Private Group In Santa Fe', dated 1992-12-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1992-12-27-private-group-in-santa-fe
1994-06-24,Hoova,,live session,"Early-era Bashar channeling session (audio recording) titled 'Hoova', dated 1994-06-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-hoova-1994-06-24
1995-01-07,Stretching Your Limits,,live session,"Early-era Bashar channeling session (audio recording) titled 'Stretching Your Limits', dated 1995-01-07. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-01-07-stretching-your-limits
1995-02-11,Prime Radiant (aka God Particle),,live session,"Early-era Bashar channeling session (audio recording) titled 'Prime Radiant (aka God Particle)', dated 1995-02-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-prime-radiant-aka-god-particle-1995-02-11
1995-05-13,Believing is Seeing,,live session,"Early-era Bashar channeling session (audio recording) titled 'Believing is Seeing', dated 1995-05-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-believing-is-seeing-1995-05-13
1995-07-15,Everyday Miracles,,live session,"Early-era Bashar channeling session (audio recording) titled 'Everyday Miracles', dated 1995-07-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-07-15-everyday-miracles
1995-08-12,Monatomics White Powder Gold,,live session,"Early-era Bashar channeling session (audio recording) titled 'Monatomics White Powder Gold', dated 1995-08-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-08-12-monatomics-white-powder-gold
1995-08-19,Seven Sequential Steps Of Manifestation,,live session,"Early-era Bashar channeling session (audio recording) titled 'Seven Sequential Steps Of Manifestation', dated 1995-08-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-08-19-seven-sequential-steps-of-manifestation
1995-10-13,Transformation and Change,,live session,"Early-era Bashar channeling session (audio recording) titled 'Transformation and Change', dated 1995-10-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-transformation-and-change-1995-10-13
1995-10-21,Telepathy,,live session,"Early-era Bashar channeling session (audio recording) titled 'Telepathy', dated 1995-10-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-10-21-telepathy
1995-10-27,The Unknown as Friend,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Unknown as Friend', dated 1995-10-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-unknown-as-friend-1995-10-27
1995-11-14,Missile of Anger,,live session,"Early-era Bashar channeling session (audio recording) titled 'Missile of Anger', dated 1995-11-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-missile-of-anger-1995-11-14
1995-12-01,Intention Action Lack Of Expectations,,live session,"Early-era Bashar channeling session (audio recording) titled 'Intention Action Lack Of Expectations', dated 1995-12-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-12-01-intention-action-lack-of-expectations
1995-12-02,Manifesting Dreams,,live session,"Early-era Bashar channeling session (audio recording) titled 'Manifesting Dreams', dated 1995-12-02. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-12-02-manifesting-dreams
1995-12-09,Three Steps Of Manifesting,,live session,"Early-era Bashar channeling session (audio recording) titled 'Three Steps Of Manifesting', dated 1995-12-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1995-12-09-three-steps-of-manifesting
1996-01-12,Martians,,live session,"Early-era Bashar channeling session (audio recording) titled 'Martians', dated 1996-01-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-martians-1996-01-12
1996-01-13,Year Of Guardianship,,live session,"Early-era Bashar channeling session (audio recording) titled 'Year Of Guardianship', dated 1996-01-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-01-13-year-of-guardianship
1996-02-17,Changing Your Life,,live session,"Early-era Bashar channeling session (audio recording) titled 'Changing Your Life', dated 1996-02-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-02-17-changing-your-life
1996-03-02,Being the Experience,,live session,"Early-era Bashar channeling session (audio recording) titled 'Being the Experience', dated 1996-03-02. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-being-the-experience-1996-03-02
1996-03-15,Seeing What You Already Have,,live session,"Early-era Bashar channeling session (audio recording) titled 'Seeing What You Already Have', dated 1996-03-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-seeing-what-you-already-have-1996-03-15
1996-03-29,Bones of God,,live session,"Early-era Bashar channeling session (audio recording) titled 'Bones of God', dated 1996-03-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-bones-of-god-1996-03-29
1996-05-18,Remembering Who You Are,,live session,"Early-era Bashar channeling session (audio recording) titled 'Remembering Who You Are', dated 1996-05-18. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-05-18-remembering-who-you-are
1996-06-08,Life Is But A Dream,,live session,"Early-era Bashar channeling session (audio recording) titled 'Life Is But A Dream', dated 1996-06-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-06-08-life-is-but-a-dream
1996-07-27,Crop Circle Symposium,,conference,"Early-era Bashar channeling session (audio recording) titled 'Crop Circle Symposium', dated 1996-07-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-07-27-crop-circle-symposium
1996-08-09,Eye of the Needle,,live session,"Early-era Bashar channeling session (audio recording) titled 'Eye of the Needle', dated 1996-08-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-eye-of-the-needle-1996-08-09
1996-08-17,Acceleration Of 1997,,live session,"Early-era Bashar channeling session (audio recording) titled 'Acceleration Of 1997', dated 1996-08-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-08-17-acceleration-of-1997
1996-08-30,Hammer of Fear,,live session,"Early-era Bashar channeling session (audio recording) titled 'Hammer of Fear', dated 1996-08-30. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-hammer-of-fear-1996-08-30
1996-09-13,Friday the 13th,,live session,"Early-era Bashar channeling session (audio recording) titled 'Friday the 13th', dated 1996-09-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-friday-the-13th-1996-09-13
1996-09-21,Achieving Perfect Health,,live session,"Early-era Bashar channeling session (audio recording) titled 'Achieving Perfect Health', dated 1996-09-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-achieving-perfect-health-1996-09-21
1996-10-26,That's The Spirit,,live session,"Early-era Bashar channeling session (audio recording) titled 'That's The Spirit', dated 1996-10-26. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-10-26-thats-the-spirit
1996-11-09,Fundamentals,,live session,"Early-era Bashar channeling session (audio recording) titled 'Fundamentals', dated 1996-11-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-fundamentals-1996-11-09
1996-11-10,Star Conference Fundamentals,,conference,"Early-era Bashar channeling session (audio recording) titled 'Star Conference Fundamentals', dated 1996-11-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-11-10-star-conference-fundamentals
1996-11-22,Creative Tap,,live session,"Early-era Bashar channeling session (audio recording) titled 'Creative Tap', dated 1996-11-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-11-22-creative-tap
1996-11-23,The Council of Nine Codex,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Council of Nine Codex', dated 1996-11-23. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-council-of-nine-codex-1996-11-23
1996-12-06,Making Choices,,live session,"Early-era Bashar channeling session (audio recording) titled 'Making Choices', dated 1996-12-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-making-choices-1996-12-06
1996-12-12,Chakras And Cycles Of Growth,,live session,"Early-era Bashar channeling session (audio recording) titled 'Chakras And Cycles Of Growth', dated 1996-12-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-12-12-chakras-and-cycles-of-growth
1996-12-13,The Observer,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Observer', dated 1996-12-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-12-13-the-observer
1996-12-14,Wizards Hat,,live session,"Early-era Bashar channeling session (audio recording) titled 'Wizards Hat', dated 1996-12-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1996-12-14-wizards-hat
1996-12-20,Is There a Santa Claus?,,live session,"Early-era Bashar channeling session (audio recording) titled 'Is There a Santa Claus?', dated 1996-12-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-is-there-a-santa-clause-1996-12-20
1997-01-10,Animals And Extinction,,live session,"Early-era Bashar channeling session (audio recording) titled 'Animals And Extinction', dated 1997-01-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-01-10-animals-and-extinction
1997-01-11,Top Secret,,live session,"Early-era Bashar channeling session (audio recording) titled 'Top Secret', dated 1997-01-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-01-11-top-secret
1997-01-24,Re-Creating Yourself,,live session,"Early-era Bashar channeling session (audio recording) titled 'Re-Creating Yourself', dated 1997-01-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-re-creating-yourself-1997-01-24
1997-01-31,Opening The Floodgates Of Creativity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Opening The Floodgates Of Creativity', dated 1997-01-31. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-01-31-opening-floodgates-of-creativity
1997-02-14,Valentines Day,,live session,"Early-era Bashar channeling session (audio recording) titled 'Valentines Day', dated 1997-02-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-02-14-valentines-day
1997-02-15,Message From The Greys,,live session,"Early-era Bashar channeling session (audio recording) titled 'Message From The Greys', dated 1997-02-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-02-15-message-from-the-greys
1997-02-21,Oyster And Polarity Of The Pearl,,live session,"Early-era Bashar channeling session (audio recording) titled 'Oyster And Polarity Of The Pearl', dated 1997-02-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-02-21-oyster-and-polarity-of-the-pearl
1997-02-28,Sudden Observable Shift,,live session,"Early-era Bashar channeling session (audio recording) titled 'Sudden Observable Shift', dated 1997-02-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1997-02-28-sudden-observable-shift
